poly_id,POLY,JAE_COURSE_CODE,COURSE_TITLE,JAE_COURSE_CLUSTER,JAE_ELR2B2,COURSE_URL,school_id
118,Republic Polytechnic,R33,Outdoor and Adventure Learning,BUSINESS & MANAGEMENT,26,http://www.rp.edu.sg/Diploma_in_Outdoor_And_Adventure_Learning_(R33).aspx,380
119,Republic Polytechnic,R34,Customer Experience Management with Business,BUSINESS & MANAGEMENT,26,http://www.rp.edu.sg/Diploma_in_Customer_Relationship_and_Service_Management_(R34).aspx,380
120,Republic Polytechnic,R35,Game Design,MEDIA & DESIGN,21,http://www.rp.edu.sg/Diploma_in_Game_Design_(R35).aspx,380
121,Republic Polytechnic,R36,Design for User Experience,MEDIA & DESIGN,22,http://www.rp.edu.sg/Diploma_in_Design_for_User_Experience_(R36).aspx,380
122,Republic Polytechnic,R37,Hotel and Hospitality Management,BUSINESS & MANAGEMENT,19,http://www.rp.edu.sg/Diploma_in_Hotel_and_Hospitality_Management_(R37).aspx,380
123,Republic Polytechnic,R39,Aviation Management,BUSINESS & MANAGEMENT,18,http://www.rp.edu.sg/Diploma_in_Aviation_Management_(R39).aspx,380
124,Republic Polytechnic,R40,Aerospace Engineering,ENGINEERING,20,http://www.rp.edu.sg/Diploma_in_Aerospace_Engineering_(R40).aspx,380
125,Republic Polytechnic,R41,Green Building Energy Management,BUILT ENVIRONMENT,26,http://www.rp.edu.sg/Diploma_in_Green_Building_Energy_Management_(R41).aspx,380
126,Republic Polytechnic,R42,Common Engineering Programme,ENGINEERING,26,http://www.rp.edu.sg/Common_Engineering_Programme_(R42).aspx,380
127,Republic Polytechnic,R43,Health Management and Promotion,HEALTH SCIENCES,26,http://www.rp.edu.sg/Diploma_in_Health_Management_And_Promotion_(R43).aspx,380
128,Republic Polytechnic,R44,"Wellness, Lifestyle and Spa Management",BUSINESS & MANAGEMENT,26,http://www.rp.edu.sg/Diploma_in_Wellness_Lifestyle_and_Spa_Management_(R44).aspx,380
129,Republic Polytechnic,R45,Health Services Management,HEALTH SCIENCES,26,http://www.rp.edu.sg/Diploma_in_Health_Services_Management_(R45).aspx,380
130,Republic Polytechnic,R46,Restaurant and Culinary Operations,BUSINESS & MANAGEMENT,25,http://www.rp.edu.sg/Diploma_in_Restaurant_and_Culinary_Operations_(R46).aspx,380
131,Republic Polytechnic,R47,Mobile Software Development,INFORMATION & DIGITAL TECHNOLOGIES,26,http://www.rp.edu.sg/Diploma_in_Mobile_Software_Development_(R47).aspx,380
132,Republic Polytechnic,R48,Consumer Behaviour and Research,BUSINESS & MANAGEMENT,19,http://www.rp.edu.sg/Diploma_in_Consumer_Behaviour_and_Research_(R48).aspx,380
133,Republic Polytechnic,R49,Sports Coaching,HEALTH SCIENCES,18,http://www.rp.edu.sg/Diploma_in_Sports_Coaching_(R49).aspx,380
134,Republic Polytechnic,R50,Electrical and Electronic Engineering,ENGINEERING,26,http://www.rp.edu.sg/Diploma_in_Electrical_and_Electronic_Engineering_(R50).aspx,380
135,Republic Polytechnic,R51,Social Enterprise Management,BUSINESS & MANAGEMENT,19,http://www.rp.edu.sg/Diploma_in_Social_Enterprise_Management_(R51).aspx,380
136,Republic Polytechnic,R52,Human Resource Management with Psychology,BUSINESS & MANAGEMENT,17,http://www.rp.edu.sg/Diploma_in_Human_Resource_Management_with_Psychology_(R52).aspx,380
137,Republic Polytechnic,R53,Marine Science and Aquaculture,APPLIED SCIENCES,17,http://www.rp.edu.sg/Diploma_in_Marine_Science_and_Aquaculture_(R53).aspx,380
138,Republic Polytechnic,R54,Engineering Systems and Management,ENGINEERING,26,http://www.rp.edu.sg/Diploma_in_Engineering_Systems_and_Management_(R54).aspx,380
139,Republic Polytechnic,R55,Infocomm Security Management,INFORMATION & DIGITAL TECHNOLOGIES,23,http://www.rp.edu.sg/Diploma_in_Infocomm_Security_Management_(R55).aspx,380
140,Singapore Polytechnic,S33,Engineering Systems,ENGINEERING,22,http://www.sp.edu.sg/wps/portal/vp-spws/scheee.cse.ftdip.engineeringsystems,379
141,Singapore Polytechnic,S34,Business Innovation and Design,BUSINESS & MANAGEMENT,13,http://www.sp.edu.sg/wps/portal/vp-spws/schb.cse.ftdip.dbid,379
142,Singapore Polytechnic,S35,Digital Animation,MEDIA & DESIGN,12,http://www.sp.edu.sg/wps/portal/vp-spws/schdmit.cse.ftdip.digitalanimation,379
143,Singapore Polytechnic,S38,Perfumery and Cosmetic Science,APPLIED SCIENCES,12,http://www.sp.edu.sg/wps/portal/vp-spws/schcls.cse.ftdip.perfumeryandcosmeticsci,379
144,Singapore Polytechnic,S39,Visual Effects and Motion Graphics,MEDIA & DESIGN,15,http://www.sp.edu.sg/wps/portal/vp-spws/schdmit.cse.ftdip.visualeffectsandmotiongraphics,379
145,Singapore Polytechnic,S41,Creative Writing for Television and New Media,HUMANITIES,12,http://www.sp.edu.sg/wps/portal/vp-spws/schcass.cse.dip.dipincreativewritingfortvandnewmedia,379
146,Singapore Polytechnic,S42,Engineering with Business,ENGINEERING,13,http://www.sp.edu.sg/wps/portal/vp-spws/scheee.cse.ftdip.engineeringwithbusiness,379
147,Singapore Polytechnic,S43,Applied Drama and Psychology,HUMANITIES,12,http://www.sp.edu.sg/wps/portal/vp-spws/schcass.cse.dip.dipinapplieddramaandpsychology,379
148,Singapore Polytechnic,S44,"Nutrition, Health and Wellness",APPLIED SCIENCES,11,http://www.sp.edu.sg/wps/portal/vp-spws/schcls.cse.ftdip.nutritionhealthandwellness,379
149,Singapore Polytechnic,S45,Energy Systems and Management,ENGINEERING,21,http://www.sp.edu.sg/wps/portal/vp-spws/scheee.cse.ftdip.cleanenergy,379
150,Singapore Polytechnic,S46,Financial Informatics,BUSINESS & MANAGEMENT,13,http://www.sp.edu.sg/wps/portal/vp-spws/schb.cse.ftdip.financialinformatics,379
151,Singapore Polytechnic,S47,Food Science and Technology,APPLIED SCIENCES,14,http://www.sp.edu.sg/wps/portal/vp-spws/schcls.cse.ftdip.foodsciandtech,379
152,Singapore Polytechnic,S48,Human Resource Management with Psychology,BUSINESS & MANAGEMENT,12,http://www.sp.edu.sg/wps/portal/vp-spws/schb.cse.ftdip.humanresourcemgtwithpsychology,379
153,Singapore Polytechnic,S50,Integrated Events and Project Management,BUILT ENVIRONMENT,13,http://www.sp.edu.sg/wps/portal/vp-spws/schabe.cse.ftdip.integratedeventsandprojmgt,379
154,Singapore Polytechnic,S51,Experience and Product Design,MEDIA & DESIGN,17,http://www.sp.edu.sg/wps/portal/vp-spws/schd.cse.ftdip.expandpdtdesign,379
155,Singapore Polytechnic,S53,Computer Engineering,ENGINEERING,19,http://www.sp.edu.sg/wps/portal/vp-spws/scheee.cse.ftdip.computerengineering,379
156,Singapore Polytechnic,S54,Infocomm Security Management,INFORMATION & DIGITAL TECHNOLOGIES,12,http://www.sp.edu.sg/wps/portal/vp-spws/schdmit.cse.ftdip.infocommsecuritymgt,379
157,Singapore Polytechnic,S55,Tourism and Resort Management,BUSINESS & MANAGEMENT,12,http://www.sp.edu.sg/wps/portal/vp-spws/schb.cse.ftdip.tourismandresortmgt,379
158,Singapore Polytechnic,S56,Games Design and Development,MEDIA & DESIGN,15,http://www.sp.edu.sg/wps/portal/vp-spws/schd.cse.ftdip.gamesdesignanddvp,379
159,Singapore Polytechnic,S58,Bioengineering,ENGINEERING,13,http://www.sp.edu.sg/wps/portal/vp-spws/schmae.cse.ftdip.bioengineering,379
160,Singapore Polytechnic,S63,Marine Engineering,MARITIME STUDIES,16,http://www.sp.edu.sg/wps/portal/vp-spws/schsma.cse.ftdip.marineengineering,379
161,Singapore Polytechnic,S66,Architecture,BUILT ENVIRONMENT,12,http://www.sp.edu.sg/wps/portal/vp-spws/schabe.cse.ftdip.architecture,379
162,Singapore Polytechnic,S67,Optometry,HEALTH SCIENCES,15,http://www.sp.edu.sg/wps/portal/vp-spws/schcls.cse.ftdip.optometry,379
163,Singapore Polytechnic,S68,Civil Engineering with Business,BUILT ENVIRONMENT,18,http://www.sp.edu.sg/wps/portal/vp-spws/schabe.cse.ftdip.civilengineeringwithbusiness,379
164,Singapore Polytechnic,S69,Information Technology,INFORMATION & DIGITAL TECHNOLOGIES,15,http://www.sp.edu.sg/wps/portal/vp-spws/schdmit.cse.ftdip.it,379
165,Singapore Polytechnic,S70,Chemical Engineering,APPLIED SCIENCES,12,http://www.sp.edu.sg/wps/portal/vp-spws/schcls.cse.ftdip.chemicalengineering,379
166,Singapore Polytechnic,S71,Business Administration,BUSINESS & MANAGEMENT,12,http://www.sp.edu.sg/wps/portal/vp-spws/schb.cse.ftdip.businessadmin,379
167,Singapore Polytechnic,S72,Biotechnology,APPLIED SCIENCES,9,http://www.sp.edu.sg/wps/portal/vp-spws/schcls.cse.ftdip.biotech,379
168,Singapore Polytechnic,S73,Mechatronics and Robotics,ENGINEERING,15,http://www.sp.edu.sg/wps/portal/vp-spws/schmae.cse.ftdip.mechatronicsandrobotics,379
169,Singapore Polytechnic,S74,Maritime Business,MARITIME STUDIES,16,http://www.sp.edu.sg/wps/portal/vp-spws/schsma.cse.ftdip.maritimebusiness,379
170,Singapore Polytechnic,S75,Accountancy,BUSINESS & MANAGEMENT,12,http://www.sp.edu.sg/wps/portal/vp-spws/schb.cse.ftdip.accountancy,379
171,Singapore Polytechnic,S76,Banking and Finance,BUSINESS & MANAGEMENT,11,http://www.sp.edu.sg/wps/portal/vp-spws/schb.cse.ftdip.bankingandfinancialservices,379
172,Singapore Polytechnic,S82,Business Information Technology,INFORMATION & DIGITAL TECHNOLOGIES,14,http://www.sp.edu.sg/wps/portal/vp-spws/schdmit.cse.ftdip.bit,379
173,Singapore Polytechnic,S86,Media and Communication,MEDIA & DESIGN,13,http://www.sp.edu.sg/wps/portal/vp-spws/schcass.cse.dip.dipinmediaandcommunications,379
174,Singapore Polytechnic,S88,Aeronautical Engineering,ENGINEERING,12,http://www.sp.edu.sg/wps/portal/vp-spws/schmae.cse.ftdip.aeronauticalengineering,379
175,Singapore Polytechnic,S89,Interior Design,MEDIA & DESIGN,16,http://www.sp.edu.sg/wps/portal/vp-spws/schd.cse.ftdip.interiordesign,379
176,Singapore Polytechnic,S90,Aerospace Electronics,ENGINEERING,14,http://www.sp.edu.sg/wps/portal/vp-spws/scheee.cse.ftdip.aerospaceelectronics,379
177,Singapore Polytechnic,S91,Mechanical Engineering,ENGINEERING,17,http://www.sp.edu.sg/wps/portal/vp-spws/schmae.cse.ftdip.mechengineering,379
178,Singapore Polytechnic,S93,Visual Communication and Media Design,MEDIA & DESIGN,14,http://www.sp.edu.sg/wps/portal/vp-spws/schd.cse.ftdip.visualcommandmediadesign,379
179,Singapore Polytechnic,S94,Landscape Architecture,BUILT ENVIRONMENT,15,http://www.sp.edu.sg/wps/portal/vp-spws/schabe.cse.ftdip.landscapearchitecture,379
180,Singapore Polytechnic,S95,Hotel & Leisure Facilities Management,BUILT ENVIRONMENT,14,http://www.sp.edu.sg/wps/portal/vp-spws/schabe.cse.ftdip.hotelandleisurefacilitiesmanagement,379
181,Singapore Polytechnic,S97,Music and Audio Technology,INFORMATION & DIGITAL TECHNOLOGIES,12,http://www.sp.edu.sg/wps/portal/vp-spws/schdmit.cse.ftdip.musicandaudiotech,379
182,Singapore Polytechnic,S98,Biomedical Science,APPLIED SCIENCES,7,http://www.sp.edu.sg/wps/portal/vp-spws/schcls.cse.ftdip.biomedicalscience,379
183,Singapore Polytechnic,S99,Electrical and Electronic Engineering,ENGINEERING,19,http://www.sp.edu.sg/wps/portal/vp-spws/scheee.cse.ftdip.eee,379
184,Temasek Polytechnic,T01,Business/Logistics & Operations Management/Marketing,BUSINESS & MANAGEMENT,15,http://www.tp.edu.sg/schools/bus/business-studies-grouping#tab1,378
185,Temasek Polytechnic,T02,Accounting & Finance,BUSINESS & MANAGEMENT,12,http://www.tp.edu.sg/schools/bus/accounting-and-finance,378
186,Temasek Polytechnic,T04,Aviation Management & Services,BUSINESS & MANAGEMENT,13,http://www.tp.edu.sg/schools/eng/aviation-management-and-services,378
187,Temasek Polytechnic,T05,Electrical & Electronic Engineering Programme,ENGINEERING,22,http://www.tp.edu.sg/schools/eng/electrical-and-electronic-engineering-programme,378
188,Temasek Polytechnic,T06,Mechatronics/ Aerospace Engineering,ENGINEERING,21,http://www.tp.edu.sg/schools/eng/mechatronics-and-aerospace-programme,378
189,Temasek Polytechnic,T08,Hospitality & Tourism Management,BUSINESS & MANAGEMENT,16,http://www.tp.edu.sg/schools/bus/hospitality-and-tourism-management,378
190,Temasek Polytechnic,T09,Law & Management,BUSINESS & MANAGEMENT,13,http://www.tp.edu.sg/schools/bus/law-and-management,378
191,Temasek Polytechnic,T13,Computer Engineering,ENGINEERING,21,http://www.tp.edu.sg/schools/eng/computer-engineering,378
192,Temasek Polytechnic,T15,Cyber & Digital Security,INFORMATION & DIGITAL TECHNOLOGIES,14,http://www.tp.edu.sg/schools/iit/cyber-and-digital-security,378
193,Temasek Polytechnic,T17,Financial Business Informatics,BUSINESS & MANAGEMENT,15,http://www.tp.edu.sg/schools/iit/financial-business-informatics,378
194,Temasek Polytechnic,T18,Culinary & Catering Management,BUSINESS & MANAGEMENT,17,http://www.tp.edu.sg/schools/bus/culinary-and-catering-management,378
195,Temasek Polytechnic,T20,Apparel Design & Merchandising,MEDIA & DESIGN,16,http://www.tp.edu.sg/schools/des/apparel-design-and-merchandising,378
196,Temasek Polytechnic,T22,Interior Architecture & Design,MEDIA & DESIGN,15,http://www.tp.edu.sg/schools/des/interior-architecture-and-design,378
197,Temasek Polytechnic,T23,Digital Film & Television,MEDIA & DESIGN,17,http://www.tp.edu.sg/schools/des/digital-film-and-television,378
198,Temasek Polytechnic,T25,Pharmaceutical Science,APPLIED SCIENCES,12,http://www.tp.edu.sg/schools/asc/pharmaceutical-science,378
199,Temasek Polytechnic,T26,Applied Food Science & Nutrition,APPLIED SCIENCES,16,http://www.tp.edu.sg/schools/asc/applied-food-science-and-nutrition,378
200,Temasek Polytechnic,T27,Biomedical Science,APPLIED SCIENCES,10,http://www.tp.edu.sg/schools/asc/biomedical-science-t27,378
201,Temasek Polytechnic,T28,Integrated Facility Management,BUILT ENVIRONMENT,17,http://www.tp.edu.sg/schools/eng/integrated-facility-management-t28,378
202,Temasek Polytechnic,T29,Green Building & Sustainability,BUILT ENVIRONMENT,22,http://www.tp.edu.sg/schools/eng/green-building-and-sustainability,378
203,Temasek Polytechnic,T30,Information Technology,INFORMATION & DIGITAL TECHNOLOGIES,19,http://www.tp.edu.sg/schools/iit/information-technology,378
204,Temasek Polytechnic,T31,Biotechnology,APPLIED SCIENCES,11,http://www.tp.edu.sg/schools/asc/biotechnology,378
205,Temasek Polytechnic,T33,Chemical Engineering,APPLIED SCIENCES,15,http://www.tp.edu.sg/schools/asc/chemical-engineering,378
206,Temasek Polytechnic,T35,Product & Industrial Design,MEDIA & DESIGN,19,http://www.tp.edu.sg/schools/des/product-and-industrial-design,378
207,Temasek Polytechnic,T36,Business Information Technology,BUSINESS & MANAGEMENT,16,http://www.tp.edu.sg/schools/bus/business-information-technology,378
208,Temasek Polytechnic,T38,Biomedical Engineering,APPLIED SCIENCES,15,http://www.tp.edu.sg/schools/eng/biomedical-engineering,378
209,Temasek Polytechnic,T39,Retail Management,BUSINESS & MANAGEMENT,18,http://www.tp.edu.sg/schools/bus/retail-management,378
210,Temasek Polytechnic,T40,Communications & Media Management,BUSINESS & MANAGEMENT,14,http://www.tp.edu.sg/schools/bus/communications-and-media-management,378
211,Temasek Polytechnic,T42,Mobile & Network Services,INFORMATION & DIGITAL TECHNOLOGIES,23,http://www.tp.edu.sg/schools/iit/mobile-and-network-services,378
212,Temasek Polytechnic,T43,Business Process & Systems Engineering,BUSINESS & MANAGEMENT,21,http://www.tp.edu.sg/schools/eng/business-process-and-systems-engineering,378
213,Temasek Polytechnic,T44,Baking & Culinary Science,APPLIED SCIENCES,16,http://www.tp.edu.sg/schools/asc/baking-and-culinary-science,378
214,Temasek Polytechnic,T45,Veterinary Technology,APPLIED SCIENCES,10,http://www.tp.edu.sg/schools/asc/veterinary-technology-t45,378
215,Temasek Polytechnic,T46,Environment Design,MEDIA & DESIGN,19,http://www.tp.edu.sg/schools/des/environment-design,378
216,Temasek Polytechnic,T48,Psychology Studies,HUMANITIES,9,http://www.tp.edu.sg/schools/hss/psychology-studies,378
217,Temasek Polytechnic,T49,3D Interactive Media Technology,MEDIA & DESIGN,21,http://www.tp.edu.sg/schools/eng/3d-interactive-media-technology,378
218,Temasek Polytechnic,T50,Aerospace Electronics,ENGINEERING,15,http://www.tp.edu.sg/schools/eng/aerospace-electronics,378
219,Temasek Polytechnic,T51,Aerospace Engineering,ENGINEERING,12,http://www.tp.edu.sg/schools/eng/aerospace-engineering-t51,378
220,Temasek Polytechnic,T52,Clean Energy,ENGINEERING,22,http://www.tp.edu.sg/schools/eng/clean-energy,378
221,Temasek Polytechnic,T53,Gerontological Management Studies,HUMANITIES,17,http://www.tp.edu.sg/schools/hss/gerontological-management-studies,378
222,Temasek Polytechnic,T54,Early Childhood Studies,HUMANITIES,15,http://www.tp.edu.sg/schools/hss/early-childhood-studies,378
223,Temasek Polytechnic,T55,Digital Forensics,INFORMATION & DIGITAL TECHNOLOGIES,14,http://www.tp.edu.sg/schools/iit/digital-forensics,378
224,Temasek Polytechnic,T56,Common Engineering Programme,ENGINEERING,20,http://www.tp.edu.sg/schools/eng/common-engineering-programme,378
225,Temasek Polytechnic,T57,Business Intelligence & Analytics,INFORMATION & DIGITAL TECHNOLOGIES,17,http://www.tp.edu.sg/schools/iit/business-intelligence-and-analytics,378
226,Temasek Polytechnic,T58,Game Design & Development,INFORMATION & DIGITAL TECHNOLOGIES,18,http://www.tp.edu.sg/schools/iit/game-design-and-development-t58,378
227,Temasek Polytechnic,T59,Communication Design,MEDIA & DESIGN,15,http://www.tp.edu.sg/schools/des/communication-design-t59,378
228,Temasek Polytechnic,T60,Big Data Management & Governance,INFORMATION & DIGITAL TECHNOLOGIES,18,http://www.tp.edu.sg/schools/iit/big-data-management-and-governance-t60,378
229,Temasek Polytechnic,T61,Leisure & Events Management,BUSINESS & MANAGEMENT,17,http://www.tp.edu.sg/schools/bus/leisure-and-events-management,378
230,Singapore Polytechnic,S40,Common Engineering Programme,ENGINEERING,16,http://www.sp.edu.sg/wps/portal/vp-spws/scheee.cse.cep,379
231,Nanyang Polytechnic,C38,Sustainable Architectural Design,BUILT ENVIRONMENT,,http://www.nyp.edu.sg/sdn/courses-for-full-time-students/new-diploma-in-sustainable-architectural-design,381
232,Ngee Ann Polytechnic,N95,Tamil Studies with Early Education,HUMANITIES,,http://www.np.edu.sg/hms/courses/tse/Pages/tse.aspx,382
